record_id,datetime,creation_status_code,metadata_status_code,file_upload_status_code,file_which_caused_problem
174,"24/11/2022 08:54:15",201,200,,
175,"24/11/2022 08:54:25",201,200,,
176,"24/11/2022 08:54:56",201,200,,
178,"24/11/2022 08:55:09",201,200,,
179,"24/11/2022 08:55:19",201,200,,
180,"24/11/2022 08:55:30",201,200,,
181,"24/11/2022 08:55:42",201,200,,
183,"24/11/2022 08:55:52",201,200,,
184,"24/11/2022 08:56:04",201,200,,
185,"24/11/2022 08:56:14",201,200,,
186,"24/11/2022 08:56:25",201,200,,
187,"24/11/2022 08:56:36",201,200,,
188,"24/11/2022 08:56:46",201,200,,
189,"24/11/2022 08:56:56",201,200,,
190,"24/11/2022 08:57:11",201,200,,
191,"24/11/2022 08:57:22",201,200,,
192,"24/11/2022 08:57:37",201,200,,
193,"24/11/2022 08:57:48",201,200,,
194,"24/11/2022 08:57:59",201,200,,
196,"24/11/2022 08:58:10",201,200,,
198,"24/11/2022 08:58:22",201,200,,
199,"24/11/2022 08:58:33",201,200,,
200,"24/11/2022 08:58:44",201,200,,
201,"24/11/2022 08:58:54",201,200,,
203,"24/11/2022 08:59:05",201,200,,
204,"24/11/2022 08:59:15",201,200,,
205,"24/11/2022 08:59:25",201,200,,
206,"24/11/2022 08:59:37",201,200,,
207,"24/11/2022 08:59:48",201,200,,
208,"24/11/2022 08:59:58",201,200,,
209,"24/11/2022 09:00:08",201,200,,
210,"24/11/2022 09:00:18",201,200,,
211,"24/11/2022 09:00:28",201,200,,
212,"24/11/2022 09:00:38",201,200,,
213,"24/11/2022 09:00:48",201,200,,
215,"24/11/2022 09:00:57",201,200,,
216,"24/11/2022 09:01:08",201,200,,
217,"24/11/2022 09:01:18",201,200,,
218,"24/11/2022 09:01:29",201,200,,
219,"24/11/2022 09:01:40",201,200,,
220,"24/11/2022 09:01:50",201,200,,
221,"24/11/2022 09:02:00",201,200,,
222,"24/11/2022 09:02:11",201,200,,
223,"24/11/2022 09:02:21",201,200,,
224,"24/11/2022 09:02:30",201,200,,
225,"24/11/2022 09:02:40",201,200,,
226,"24/11/2022 09:02:51",201,200,,
227,"24/11/2022 09:03:02",201,200,,
228,"24/11/2022 09:03:12",201,200,,
229,"24/11/2022 09:03:21",201,200,,
230,"24/11/2022 09:03:30",201,200,,
231,"24/11/2022 09:03:40",201,200,,
233,"24/11/2022 09:03:50",201,200,,
235,"24/11/2022 09:04:01",201,200,,
236,"24/11/2022 09:04:14",201,200,,
237,"24/11/2022 09:04:25",201,200,,
238,"24/11/2022 09:04:37",201,200,,
239,"24/11/2022 09:04:49",201,200,,
240,"24/11/2022 09:05:00",201,200,,
241,"24/11/2022 09:05:10",201,200,,
242,"24/11/2022 09:05:21",201,200,,
243,"24/11/2022 09:05:36",201,200,,
245,"24/11/2022 09:05:48",201,200,,
246,"24/11/2022 09:05:57",201,200,,
247,"24/11/2022 09:06:07",201,200,,
248,"24/11/2022 09:06:17",201,200,,
249,"24/11/2022 09:06:29",201,200,,
250,"24/11/2022 09:06:43",201,200,,
251,"24/11/2022 09:06:54",201,200,,
252,"24/11/2022 09:07:04",201,200,,
253,"24/11/2022 09:07:14",201,200,,
254,"24/11/2022 09:07:25",201,200,,
255,"24/11/2022 09:07:36",201,200,,
257,"24/11/2022 09:07:46",201,200,,
258,"24/11/2022 09:07:56",201,200,,
259,"24/11/2022 09:08:07",201,200,,
260,"24/11/2022 09:08:16",201,200,,
261,"24/11/2022 09:08:26",201,200,,
262,"24/11/2022 09:08:37",201,200,,
263,"24/11/2022 09:08:48",201,200,,
264,"24/11/2022 09:08:58",201,200,,
265,"24/11/2022 09:09:09",201,200,,
266,"24/11/2022 09:09:20",201,200,,
267,"24/11/2022 09:09:29",201,200,,
268,"24/11/2022 09:09:39",201,200,,
269,"24/11/2022 09:09:48",201,200,,
270,"24/11/2022 09:09:58",201,200,,
271,"24/11/2022 09:10:07",201,200,,
272,"24/11/2022 09:10:16",201,200,,
273,"24/11/2022 09:10:26",201,200,,
274,"24/11/2022 09:10:35",201,200,,
275,"24/11/2022 09:10:45",201,200,,
276,"24/11/2022 09:10:55",201,200,,
277,"24/11/2022 09:11:05",201,200,,
278,"24/11/2022 09:11:15",201,200,,
279,"24/11/2022 09:11:25",201,200,,
282,"24/11/2022 09:11:34",201,200,,
283,"24/11/2022 09:11:44",201,200,,
284,"24/11/2022 09:11:55",201,200,,
285,"24/11/2022 09:12:07",201,200,,
